video_id,start,end,text,cluster
C-1KLeUMzGc_drippi.io_score0.9068,0.0,23.36,"We've been standing most alive, living in protestors' paradise",-1
C-1KLeUMzGc_drippi.io_score0.9068,23.36,27.76,"Look at the situation they got me facing, I can't live a normal life",-1
C-1KLeUMzGc_drippi.io_score0.9068,27.76,29.520000000000003,"I was raised by the shit, so",-1
C-tlAIARfyN_upstudy.ai_score0.9651,0.0,2.96,Pick me up. I'm dropping out. You've been in school for seven minutes.,-1
C-tlAIARfyN_upstudy.ai_score0.9651,2.96,4.96,Exactly. Too damn long.,-1
C0ZaorctNEi_jry.media_score0.8938,0.0,9.68,"It's still good This is a new man New rock, new bands",-1
C0ZaorctNEi_jry.media_score0.8938,9.68,13.120000000000001,"New hip, new chips New kicks Check your chest, as you play",-1
C0ZaorctNEi_jry.media_score0.8938,14.72,17.48,Got his head in another luggish Be caught in a restaurant,-1
C0ZaorctNEi_jry.media_score0.8938,19.76,22.44,But I'm making another hiccup This is my last,-1
C0ZaorctNEi_jry.media_score0.8938,23.2,24.6,This is a new man,-1
C4HIqPvNVXg_deadbook.co_score0.8872,0.0,6.72,"two days after we had discovered my mother-in-law dead in her kitchen, my CEO texted and said,",-1
C4HIqPvNVXg_deadbook.co_score0.8872,7.76,14.48,"you're coming in office next week, right? No, I'm not. I needed a sense of normalcy. I wanted",-1
C4HIqPvNVXg_deadbook.co_score0.8872,14.48,19.12,"to get back on. I wanted to be on from nine to five and do my job, but I wasn't going to leave",-1
C4HIqPvNVXg_deadbook.co_score0.8872,19.12,23.84,"my husband at home, especially with a job that I could work from home. I could work from anywhere.",-1
C4HIqPvNVXg_deadbook.co_score0.8872,24.8,31.44,"The day of her celebration of a life about a month later, I had requested PTO. We have family in",-1
C4HIqPvNVXg_deadbook.co_score0.8872,31.44,38.08,town. It was a day to focus on family and nothing else. My CEO called me twice that day to talk about,-1
C4HIqPvNVXg_deadbook.co_score0.8872,38.08,44.879999999999995,"a job description. The conversation could have waited. It really, really ticked me off. Following",-1
C4HIqPvNVXg_deadbook.co_score0.8872,44.879999999999995,51.04,"that, I was told that I needed to show up and smile and bring camaraderie to the office. In the mist",1
C4HIqPvNVXg_deadbook.co_score0.8872,51.04,58.48,"of grieving, I was told that I needed to smile and have a good attitude. I want to have this",-1
C4HIqPvNVXg_deadbook.co_score0.8872,58.48,66.48,conversation because I just think it's so important that we understand where people are at. We have,-1
C4HIqPvNVXg_deadbook.co_score0.8872,66.48,71.6,to go back to work. We have to go back to life. We have to go back to the administrative things,-1
C4HIqPvNVXg_deadbook.co_score0.8872,71.6,76.24,"after somebody passes, but there's a certain way to handle it and to handle it with ease.",-1
C7EJ29HgUVm_diimejii_score0.8907,0.0,5.68,"What would you do if your wedding photographer calls you 10 days after your wedding,",-1
C7EJ29HgUVm_diimejii_score0.8907,5.68,10.56,informing you that he's lost all the photos to your wedding?,-1
C7EJ29HgUVm_diimejii_score0.8907,10.56,12.08,What would you do?,-1
C7z614SyooD_goldenbootacademy_score0.9077,2.0,8.0,"Bigger arms. Attention. Okay, go start here.",-1
C7z614SyooD_goldenbootacademy_score0.9077,8.0,12.0,Good man. Big push. Get there. Big face.,-1
C7z614SyooD_goldenbootacademy_score0.9077,12.0,16.0,You gotta meet me there. Go. Get there.,-1
C7z614SyooD_goldenbootacademy_score0.9077,16.0,24.0,"Go, go, go, go. Good man. Find me. Find me.",-1
C7z614SyooD_goldenbootacademy_score0.9077,24.0,28.0,Take your time. Show. Take your time. Big dribbles now. Breathe.,-1
C7z614SyooD_goldenbootacademy_score0.9077,28.0,30.0,Take your time.,-1
C8q4E2QttUy_diimejii_score0.8611,0.0,4.88,"What would you do if your wedding photographer calls you 10 days after your wedding,",-1
C8q4E2QttUy_diimejii_score0.8611,4.88,9.36,informing you that he's lost all the photos to your wedding? What would you do?,-1
C8q4E2QttUy_diimejii_score0.8611,10.0,14.48,"See, in the last three months, I've asked over a thousand people this question and their answers.",-1
C8q4E2QttUy_diimejii_score0.8611,15.120000000000001,25.44,"Well, see for yourself. For the past one year, my team and I have been working on a solution called PhotoPool,",1
C8q4E2QttUy_diimejii_score0.8611,25.44,29.6,which is a photo sharing app for event organizers and their attendees.,1
C8q4E2QttUy_diimejii_score0.8611,29.6,35.52,And this is how it works. You create an event on PhotoPool and share your unique code with those you want to attend your,1
C8q4E2QttUy_diimejii_score0.8611,35.52,40.160000000000004,"event. Once they successfully joined your event, then they get prompted to upload the photos they",1
C8q4E2QttUy_diimejii_score0.8611,40.160000000000004,45.2,"took during your event with you as the event host, which makes PhotoPool perfect for wedding parties,",1
C8q4E2QttUy_diimejii_score0.8611,45.2,49.68000000000001,"for weddings, for bar mitfas, any event literally that you can invite people to,",-1
C8q4E2QttUy_diimejii_score0.8611,49.68000000000001,52.400000000000006,they take pictures and eventually share them with you.,1
C8q4E2QttUy_diimejii_score0.8611,52.48,55.6,It's pretty much like a digital disposable camera.,-1
C8q4E2QttUy_diimejii_score0.8611,55.6,60.879999999999995,"And that's the idea. Right now, it's available on Android and iOS and you are able to use the app.",1
